EmployeeID,FirstName,LastName,Gender,Age,BusinessTravel,Department,DistanceFromHome (KM),State,Ethnicity,Education,EducationField,JobRole,MaritalStatus,Salary,StockOptionLevel,OverTime,HireDate,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,ExperienceLevel,Salary_Capped,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating,ReviewYear,RatingGap,YearWeight,X_WorkLifeBalance,X_EnvironmentSatisfaction,X_JobSatisfaction,X_RelationshipSatisfaction,X_TrainingOpportunitiesTaken,X_EngagementRate,T_JobSatisfaction,T_WorkLifeBalance,T_ManagerRating,Experience_SEM
0317-B7BC,Ronni,Beechcraft,Female,23,Some Travel,Sales,7,IL,White,Masters,Marketing,Sales Executive,Married,72622,0,Yes,2020-03-03,No,2,0,2,0,Junior,72622.0,2022-09-29,3,5,4,1,1,2,3,2,2022,-1,10,2.0,3.0,5.0,4.0,1.0,3.0,0.0,0.0,0.0,3.0
0322-D46B,Nikolas,Leslie,Male,32,Some Travel,Sales,39,CA,Black,Masters,Marketing,Sales Executive,Married,105748,2,No,2012-03-28,No,10,0,1,8,Junior,105748.0,2022-03-02,3,4,5,2,2,2,4,3,2022,-1,10,3.0384615384615383,3.769230769230769,3.1538461538461537,3.3076923076923075,1.3269230769230769,2.9192307692307695,-0.11904761904761905,-0.10714285714285718,-0.1666666666666667,2.9192307692307695
03C5-51AD,Maxie,Banker,Female,25,Some Travel,Technology,1,IL,White,High School,Computer Science,Data Scientist,Married,32354,1,Yes,2015-12-06,Yes,7,4,6,2,Mid,32354.0,2022-03-29,5,4,4,3,1,4,3,2,2022,-1,10,3.890909090909091,4.418181818181818,4.109090909090909,4.0,0.8,3.443636363636364,0.2060606060606061,-0.006060606060606062,-0.0666666666666667,3.443636363636364
03D3-AA88,Mycah,Brolechan,Male,23,Some Travel,Technology,8,NY,White,Masters,Other,Software Engineer,Married,42250,2,No,2018-03-26,No,4,1,2,4,Junior,42250.0,2022-03-02,4,5,5,2,0,3,3,2,2022,-1,10,2.6666666666666665,3.7037037037037037,4.37037037037037,4.111111111111111,0.2962962962962963,3.0296296296296292,0.49999999999999983,4.886831086417666e-17,-1.0,3.0296296296296292
03D9-FF08,Lynnette,Portinari,Non-Binary,22,Some Travel,Technology,30,CA,White,Masters,Other,Software Engineer,Single,44135,0,No,2020-05-15,No,2,0,1,1,Junior,44135.0,2022-07-07,3,5,3,3,0,5,4,3,2022,-1,10,5.0,3.0,5.0,3.0,0.0,3.2,0.0,0.0,0.0,3.2
03EF-5904,Shepperd,Brittain,Male,31,Some Travel,Technology,45,IL,Native American,Bachelors,Other,Machine Learning Engineer,Married,195261,1,No,2013-09-09,No,9,3,4,5,Mid,195261.0,2022-12-28,4,5,5,3,2,2,4,4,2022,0,10,3.4285714285714284,3.938775510204082,3.36734693877551,3.9591836734693877,1.1224489795918366,3.163265306122449,0.14285714285714282,-0.25,-0.07142857142857141,3.163265306122449
040C-EDED,Lonnie,Braxton,Male,22,Frequent Traveller,Technology,45,CA,White,High School,Computer Science,Software Engineer,Single,26782,0,Yes,2019-11-08,Yes,3,0,2,0,Junior,26782.0,2022-08-12,5,3,3,3,2,2,3,2,2022,-1,10,2.6666666666666665,4.314814814814815,3.685185185185185,2.9074074074074074,0.9444444444444444,2.9037037037037035,-0.18333333333333335,-2.5491551408861472e-17,-0.08333333333333334,2.9037037037037035
041A-31B0,Gerri,Fullerlove,Female,34,Some Travel,Technology,41,NY,Black,Bachelors,Computer Science,Software Engineer,Married,50386,1,No,2012-05-20,No,10,8,9,10,Senior,50386.0,2022-01-28,4,2,4,2,0,5,3,2,2022,-1,10,3.4615384615384617,3.2884615384615383,2.8461538461538463,3.519230769230769,1.4230769230769231,2.907692307692308,-0.5000000000000002,0.10714285714285716,-0.1428571428571429,2.907692307692308
04D7-C8F3,Scarlett,Elstob,Female,26,Some Travel,Technology,27,CA,White,High School,Computer Science,Data Scientist,Married,42052,1,No,2015-10-26,No,7,7,7,2,Senior,42052.0,2022-08-13,1,1,3,3,2,4,4,4,2022,0,10,4.05,3.25,2.55,3.95,0.725,2.9050000000000002,-0.19999999999999998,0.20000000000000004,0.3000000000000001,2.9050000000000002
04E6-6B61,Rodd,Haddow,Male,29,Some Travel,Sales,17,CA,White,Masters,Marketing,Sales Executive,Single,140158,0,No,2021-01-04,No,1,0,1,1,Junior,140158.0,2022-09-28,5,2,2,3,1,3,3,2,2022,-1,10,3.0,5.0,2.0,2.0,1.0,2.6,0.0,0.0,0.0,2.6
0592-D909,Jamill,Woolger,Male,39,Frequent Traveller,Technology,42,NY,White,Bachelors,Information Systems,Analytics Manager,Married,495977,1,No,2020-04-30,No,2,2,2,0,Mid,495977.0,2022-01-04,5,4,3,3,1,3,5,5,2022,0,10,3.0,5.0,4.0,3.0,1.0,3.2,0.0,0.0,0.0,3.2
05B0-755F,Sollie,Arnke,Male,44,Some Travel,Technology,29,CA,Asian,Bachelors,Computer Science,Data Scientist,Married,57890,0,No,2013-05-24,No,9,8,8,8,Senior,57890.0,2022-01-19,3,3,5,1,0,5,4,4,2022,0,10,3.0816326530612246,3.489795918367347,3.163265306122449,3.693877551020408,0.3877551020408163,2.7632653061224492,-0.21428571428571427,0.14285714285714282,0.07142857142857138,2.7632653061224492
05CD-292D,Buddie,Desforges,Male,24,Some Travel,Technology,1,CA,White,Bachelors,Other,Software Engineer,Single,54501,0,No,2018-08-01,No,4,4,4,2,Mid,54501.0,2022-04-27,5,3,4,1,2,2,4,4,2022,0,10,3.2962962962962963,4.407407407407407,2.6666666666666665,4.62962962962963,1.6296296296296295,3.325925925925926,4.886831086417666e-17,-0.5000000000000001,0.49999999999999983,3.325925925925926
05DA-5423,Moira,Forsey,Female,26,Some Travel,Technology,16,CA,Native American,High School,Business Studies,Software Engineer,Married,34630,0,No,2016-07-30,No,6,2,6,0,Mid,34630.0,2022-10-16,4,5,5,1,1,5,4,3,2022,-1,10,3.823529411764706,3.9705882352941178,4.294117647058823,3.8529411764705883,0.5,3.288235294117648,0.29999999999999993,0.5,0.09999999999999998,3.288235294117648
05ED-92F1,Justus,MacCall,Non-Binary,27,Frequent Traveller,Sales,41,CA,Asian,Bachelors,Marketing,Sales Representative,Single,28984,0,Yes,2016-10-10,Yes,3,1,1,0,Junior,28984.0,2022-01-08,3,5,4,1,3,4,4,3,2022,-1,10,3.381818181818182,3.727272727272727,3.672727272727273,2.9272727272727272,1.4181818181818182,3.0254545454545454,-0.1515151515151515,0.05454545454545455,0.07878787878787875,3.0254545454545454
05F0-6F7B,Ashlee,Mc Combe,Female,24,Some Travel,Technology,5,NY,White,No Formal Qualifications,Information Systems,Data Scientist,Single,100818,0,No,2017-12-24,No,5,1,3,0,Junior,100818.0,2022-04-02,5,3,2,1,0,4,5,5,2022,0,10,2.7777777777777777,3.4444444444444446,3.2962962962962963,2.6666666666666665,0.6296296296296297,2.562962962962963,-0.49999999999999983,1.4999999999999998,9.773662172835332e-17,2.562962962962963
0626-7020,Ketti,Carney,Female,24,No Travel,Technology,7,CA,Black,High School,Information Systems,Senior Software Engineer,Married,126527,1,Yes,2017-10-01,No,5,1,5,3,Junior,126527.0,2022-04-24,3,5,2,1,2,4,5,5,2022,0,10,4.0,3.0,5.0,3.259259259259259,1.7037037037037037,3.3925925925925924,0.0,0.0,9.773662172835332e-17,3.3925925925925924
0678-748A,Maurits,Farmery,Male,25,Some Travel,Sales,4,CA,Pacific Islander,High School,Economics,Sales Executive,Divorced,57698,2,Yes,2015-05-11,Yes,6,5,6,2,Senior,57698.0,2022-01-02,3,2,4,1,0,2,3,2,2022,-1,10,3.1636363636363636,4.218181818181818,3.4909090909090907,3.4727272727272727,1.2,3.1090909090909085,0.1272727272727273,-0.09090909090909093,0.06666666666666665,3.1090909090909085
0697-ADC3,Robert,Muffitt,Male,38,No Travel,Technology,4,CA,White,Bachelors,Information Systems,Software Engineer,Divorced,45942,1,Yes,2014-01-30,No,8,4,5,8,Mid,45942.0,2022-12-21,4,5,2,1,0,4,5,5,2022,0,10,3.3877551020408165,4.163265306122449,3.9183673469387754,2.857142857142857,1.0,3.0653061224489795,0.10714285714285711,0.17857142857142852,0.4999999999999999,3.0653061224489795
06B9-B79D,Roseanne,Thrustle,Female,21,Some Travel,Sales,36,CA,White,Bachelors,Marketing,Sales Executive,Married,76057,2,No,2020-12-12,Yes,1,0,0,0,Junior,76057.0,2022-03-03,3,4,5,1,1,4,4,4,2022,0,10,3.5925925925925926,4.074074074074074,3.314814814814815,3.5925925925925926,0.8888888888888888,3.0925925925925926,0.08333333333333338,0.1333333333333334,-0.03333333333333333,3.0925925925925926
06E8-4FD4,Emilee,Wenham,Female,20,Some Travel,Sales,32,CA,Black,High School,Marketing,Sales Representative,Married,38532,3,Yes,2022-12-03,Yes,0,0,0,0,Junior,38532.0,2022-06-03,5,3,5,2,1,3,3,3,2022,0,10,3.7222222222222223,4.111111111111111,3.0555555555555554,3.5,1.4259259259259258,3.162962962962963,0.049999999999999975,0.05,0.049999999999999954,3.162962962962963
0742-C802,Glennis,Miquelet,Female,24,Frequent Traveller,Technology,30,NY,White,Masters,Information Systems,Senior Software Engineer,Married,66110,2,Yes,2019-07-24,No,3,2,2,0,Mid,66110.0,2022-05-27,5,4,5,3,3,2,3,2,2022,-1,10,3.4210526315789473,5.0,4.0,5.0,3.0,4.084210526315789,0.0,-2.9999999999999996,0.0,4.084210526315789
076F-8AA3,Reese,Dibbert,Male,39,Some Travel,Technology,5,CA,White,High School,Computer Science,Data Scientist,Single,58685,0,No,2012-03-08,Yes,9,6,6,2,Senior,58685.0,2022-04-05,1,4,3,3,0,4,4,4,2022,0,10,3.709090909090909,3.4545454545454546,3.2181818181818183,3.981818181818182,0.8,3.032727272727273,0.21212121212121215,0.006060606060606057,0.012121212121212118,3.032727272727273
07AF-3631,Ignazio,Bendixen,Male,25,No Travel,Sales,35,NY,White,Masters,Marketing,Sales Executive,Divorced,149519,1,Yes,2016-02-03,No,6,2,4,3,Mid,149519.0,2021-08-01,4,3,3,2,1,2,3,3,2021,0,9,2.7,3.7666666666666666,2.7666666666666666,3.3666666666666667,1.0,2.72,0.09999999999999998,-0.29999999999999993,-5.613212389875622e-17,2.72
07B2-D67A,Rossie,Everleigh,Male,44,Some Travel,Sales,40,NY,White,High School,Economics,Manager,Divorced,285620,1,No,2012-01-30,No,10,6,8,4,Senior,285620.0,2022-04-01,4,4,3,2,1,4,5,4,2022,-1,10,3.3846153846153846,3.519230769230769,3.7115384615384617,3.75,0.7307692307692307,3.019230769230769,-0.04761904761904763,-0.1428571428571429,0.22619047619047628,3.019230769230769
07C3-7429,Hendrik,Blenkharn,Male,26,Some Travel,Technology,18,CA,Asian,Bachelors,Information Systems,Machine Learning Engineer,Divorced,54470,1,No,2016-07-21,No,6,0,6,3,Junior,54470.0,2022-06-14,5,3,3,1,0,3,3,2,2022,-1,10,3.8823529411764706,4.5588235294117645,4.0,2.2941176470588234,0.20588235294117646,2.9882352941176467,-5.613212389875622e-17,-0.7999999999999998,-0.09999999999999998,2.9882352941176467
07F1-62C3,Bertrand,Davidsen,Male,27,Frequent Traveller,Technology,9,NY,Black,Masters,Computer Science,Software Engineer,Married,39001,0,Yes,2015-03-03,No,7,7,7,4,Senior,39001.0,2022-09-07,3,4,4,2,0,2,5,5,2022,0,10,3.225,4.075,2.875,3.875,0.875,2.9850000000000003,0.3,-0.7000000000000001,0.5,2.9850000000000003
07F5-A45D,Willdon,Spurgin,Male,24,Frequent Traveller,Sales,23,CA,Asian,High School,Economics,Sales Representative,Single,38448,0,Yes,2018-08-09,Yes,4,3,3,2,Mid,38448.0,2022-09-21,2,1,2,3,0,3,4,3,2022,-1,10,3.388888888888889,3.2037037037037037,2.4814814814814814,2.8703703703703702,0.6111111111111112,2.511111111111111,-0.1666666666666667,0.05,-0.10000000000000002,2.511111111111111
07F6-D61B,Jodee,Vala,Female,23,Some Travel,Technology,5,NY,White,Bachelors,Information Systems,Software Engineer,Divorced,23995,1,No,2018-04-27,No,4,4,4,0,Mid,23995.0,2022-09-26,3,4,5,1,1,3,3,2,2022,-1,10,3.925925925925926,3.3333333333333335,3.3703703703703702,4.407407407407407,1.3703703703703705,3.2814814814814817,0.49999999999999983,-0.9999999999999997,-1.4999999999999991,3.2814814814814817
0846-2064,Hedvige,De Wolfe,Non-Binary,33,Some Travel,Technology,44,CA,White,Bachelors,Information Systems,Analytics Manager,Single,230945,0,No,2019-07-09,No,3,0,2,0,Junior,230945.0,2022-03-23,3,4,4,1,0,3,3,2,2022,-1,10,2.526315789473684,3.0,2.5789473684210527,2.5789473684210527,0.47368421052631576,2.231578947368421,2.9999999999999996,0.9999999999999997,-1.9999999999999993,2.231578947368421
085C-7FC2,Emmerich,Wallicker,Male,47,No Travel,Sales,17,NY,White,Masters,Other,Sales Executive,Married,176158,0,No,2012-04-13,No,10,9,10,2,Senior,176158.0,2022-11-19,5,4,2,3,1,4,5,4,2022,-1,10,4.0576923076923075,4.480769230769231,3.9038461538461537,3.173076923076923,1.3269230769230769,3.388461538461539,-0.11904761904761908,-0.08333333333333336,0.21428571428571436,3.388461538461539
0868-097F,Modesty,Kingescot,Non-Binary,33,Some Travel,Technology,26,CA,White,Bachelors,Information Systems,Engineering Manager,Single,267009,0,No,2013-09-23,No,9,0,1,7,Junior,267009.0,2022-10-30,2,1,4,3,2,3,4,3,2022,-1,10,3.2857142857142856,3.816326530612245,2.4285714285714284,3.0408163265306123,2.0408163265306123,2.9224489795918367,-0.49999999999999983,5.758524823251576e-18,-0.14285714285714282,2.9224489795918367
08AC-30AB,Wolf,Sainsbury,Male,51,Some Travel,Technology,30,NY,White,Bachelors,Computer Science,Analytics Manager,Divorced,232658,1,No,2021-01-17,No,1,1,1,1,Junior,232658.0,2022-12-10,5,3,3,1,0,5,3,2,2022,-1,10,5.0,5.0,3.0,3.0,0.0,3.2,0.0,0.0,0.0,3.2
08E4-D3D5,Olvan,Coatham,Male,21,Some Travel,Technology,25,NY,White,Masters,Computer Science,Data Scientist,Single,34634,0,No,2019-12-11,Yes,1,1,1,1,Junior,34634.0,2022-05-05,5,4,4,3,1,3,5,5,2022,0,10,2.888888888888889,4.074074074074074,3.074074074074074,3.314814814814815,1.037037037037037,2.8777777777777778,-0.03333333333333338,1.1254677181983197e-18,0.25,2.8777777777777778
08FC-817E,Milka,Vinas,Female,26,Some Travel,Technology,43,NY,Black,Masters,Computer Science,Software Engineer,Married,30217,1,No,2015-09-04,No,7,2,4,0,Mid,30217.0,2022-12-14,3,4,2,3,0,3,3,2,2022,-1,10,3.0,3.925,2.65,3.275,1.05,2.7800000000000002,0.19999999999999998,0.0,-0.09999999999999999,2.7800000000000002
097B-A688,Hillard,Hulson,Male,23,Some Travel,Technology,33,NY,Pacific Islander,High School,Information Systems,Data Scientist,Married,26198,1,Yes,2017-04-04,No,5,4,4,0,Mid,26198.0,2022-12-29,4,3,4,2,0,1,5,5,2022,0,10,2.176470588235294,4.0,2.5,3.0588235294117645,0.7647058823529411,2.5,2.806606194937811e-17,-0.4999999999999999,0.5,2.5
09D2-46BD,Karyl,Ponten,Female,26,Some Travel,Sales,42,CA,White,Bachelors,Marketing,Sales Executive,Married,92364,1,Yes,2016-07-12,No,6,4,5,6,Mid,92364.0,2022-07-27,5,5,3,1,1,4,4,3,2022,-1,10,4.088235294117647,4.264705882352941,3.911764705882353,3.2058823529411766,1.2647058823529411,3.3470588235294114,1.0999999999999996,0.5999999999999999,2.682524990494393e-17,3.3470588235294114
0A05-3943,Sherie,Pattington,Female,26,Some Travel,Technology,20,CA,White,Bachelors,Business Studies,Software Engineer,Single,33273,0,Yes,2015-01-20,Yes,2,1,1,0,Junior,33273.0,2022-05-15,3,4,2,3,0,5,3,2,2022,-1,10,3.327272727272727,3.581818181818182,3.8727272727272726,3.1272727272727274,0.7636363636363637,2.9345454545454546,0.04848484848484847,0.08484848484848485,-0.10909090909090909,2.9345454545454546
0A4E-1A4A,Aloysius,Holdren,Male,22,No Travel,Sales,14,CA,Mixed,Bachelors,Technical Degree,Sales Executive,Single,53014,0,Yes,2019-02-04,No,3,3,3,0,Mid,53014.0,2022-08-17,4,4,3,1,2,3,4,4,2022,0,10,2.526315789473684,4.0,3.0526315789473686,3.9473684210526314,2.473684210526316,3.2,1.9999999999999993,0.9999999999999997,0.0,3.2
0AA2-881A,Jeffrey,Mildmott,Male,25,Some Travel,Technology,28,NY,Other,Masters,Information Systems,Software Engineer,Married,29126,2,No,2016-07-18,No,6,0,2,3,Junior,29126.0,2022-07-03,3,2,3,2,0,4,4,4,2022,0,10,3.3823529411764706,4.411764705882353,2.9705882352941178,3.264705882352941,0.7647058823529411,2.9588235294117653,-0.19999999999999996,0.8999999999999999,0.2999999999999999,2.9588235294117653
0AE7-DDE2,Martyn,Rathke,Male,23,Some Travel,Technology,8,CA,White,High School,Information Systems,Machine Learning Engineer,Married,46850,1,No,2018-10-20,No,4,3,4,2,Mid,46850.0,2022-08-22,3,4,4,3,0,5,3,2,2022,-1,10,4.333333333333333,4.2592592592592595,3.037037037037037,4.296296296296297,0.9629629629629629,3.3777777777777778,0.4999999999999999,9.773662172835332e-17,-0.49999999999999983,3.3777777777777778
0AF4-EC15,Gwenore,Bernucci,Female,24,Some Travel,Sales,33,CA,Pacific Islander,Bachelors,Marketing,Sales Executive,Single,91915,0,No,2018-07-23,No,4,0,4,4,Junior,91915.0,2022-09-08,3,3,3,2,1,4,5,5,2022,0,10,3.6296296296296298,3.5925925925925926,3.6666666666666665,2.962962962962963,1.2962962962962963,3.0296296296296292,-1.187575654052147e-16,-0.49999999999999983,1.4999999999999998,3.0296296296296292
0B19-EFB2,Ada,Bynold,Female,39,Frequent Traveller,Technology,25,CA,White,Masters,Computer Science,Engineering Manager,Single,300594,0,Yes,2018-04-24,No,4,1,4,2,Junior,300594.0,2022-01-31,4,4,1,2,0,3,4,4,2022,0,10,3.3333333333333335,4.037037037037037,4.296296296296297,2.925925925925926,1.2962962962962963,3.177777777777778,-0.4999999999999999,-4.886831086417666e-17,0.4999999999999999,3.177777777777778
0B49-32CD,Nettle,Manwaring,Female,20,Some Travel,Technology,30,CA,White,High School,Information Systems,Data Scientist,Divorced,41179,1,No,2020-11-04,No,2,0,0,0,Junior,41179.0,2022-12-22,3,4,4,1,0,3,3,3,2022,0,10,3.0,3.0,4.0,4.0,0.0,2.8,0.0,0.0,0.0,2.8
0B72-0EE6,Noll,Antoniottii,Male,24,Some Travel,Technology,1,NY,White,Masters,Computer Science,Senior Software Engineer,Married,70849,2,No,2016-09-03,No,6,0,1,6,Junior,70849.0,2022-10-19,3,2,3,2,1,2,3,3,2022,0,10,3.1176470588235294,3.5294117647058822,2.5,3.0588235294117645,1.5,2.7411764705882353,-2.806606194937811e-17,-0.8999999999999997,0.39999999999999986,2.7411764705882353
0BAF-7454,Ninnette,Braganza,Non-Binary,26,Some Travel,Technology,12,NY,White,Masters,Computer Science,Software Engineer,Single,37530,0,No,2017-07-30,No,5,5,5,5,Senior,37530.0,2022-04-09,4,3,3,3,2,2,3,2,2022,-1,10,3.2222222222222223,3.7037037037037037,3.3333333333333335,2.6296296296296298,1.6296296296296295,2.903703703703704,-4.886831086417666e-17,-1.4999999999999998,0.0,2.903703703703704
0C23-26DD,Bathsheba,Ablewhite,Female,35,Some Travel,Sales,23,NY,White,Bachelors,Economics,Sales Representative,Married,81389,1,No,2013-03-11,No,9,3,7,5,Mid,81389.0,2022-03-08,3,2,5,2,0,2,3,2,2022,-1,10,3.489795918367347,4.224489795918367,2.795918367346939,3.9183673469387754,0.9591836734693877,3.077551020408163,-0.35714285714285704,-0.14285714285714282,-0.24999999999999994,3.077551020408163
0C37-B7CF,Maximilien,Bodimeade,Male,22,Some Travel,Technology,18,NY,White,Masters,Information Systems,Senior Software Engineer,Married,68743,0,No,2019-03-23,No,3,0,3,1,Junior,68743.0,2022-10-04,3,4,2,1,2,2,3,2,2022,-1,10,2.0,3.9473684210526314,3.526315789473684,3.4210526315789473,2.473684210526316,3.0736842105263156,0.9999999999999997,0.0,-1.9999999999999993,3.0736842105263156
0C6D-2825,Tann,Lettley,Male,21,Some Travel,Technology,30,CA,White,Bachelors,Computer Science,Software Engineer,Divorced,37164,1,Yes,2019-03-06,No,3,3,3,3,Mid,37164.0,2022-01-02,4,5,5,1,0,5,5,5,2022,0,10,3.5789473684210527,4.0,4.526315789473684,5.0,0.9473684210526315,3.6105263157894734,0.9999999999999997,2.9999999999999996,0.9999999999999997,3.6105263157894734
0C7B-2EA6,Oswell,McCloid,Male,34,Frequent Traveller,Technology,25,NY,Asian,High School,Other,Data Scientist,Married,39015,1,No,2013-09-15,No,9,5,6,4,Senior,39015.0,2022-06-02,5,3,2,3,0,4,4,4,2022,0,10,4.346938775510204,4.326530612244898,2.9183673469387754,3.7142857142857144,0.4489795918367347,3.1510204081632653,0.10714285714285711,0.10714285714285714,0.07142857142857142,3.1510204081632653
0CED-EE28,Ruthy,Pena,Female,48,Some Travel,Technology,25,CA,White,No Formal Qualifications,Computer Science,Data Scientist,Married,47464,0,No,2012-03-06,No,10,4,8,10,Mid,47464.0,2022-12-19,5,3,3,2,1,4,5,4,2022,-1,10,3.4615384615384617,4.173076923076923,3.6923076923076925,3.269230769230769,0.7115384615384616,3.0615384615384618,-0.07142857142857151,0.2619047619047619,-0.07142857142857142,3.0615384615384618
0CF8-1EBD,Franciska,Cubbin,Female,28,Frequent Traveller,Technology,38,CA,Mixed,Masters,Computer Science,Data Scientist,Married,87704,2,No,2015-03-28,No,7,1,3,6,Junior,87704.0,2022-02-12,3,3,2,3,1,2,3,3,2022,0,10,3.475,3.3,3.9,3.025,1.625,3.0650000000000004,-0.39999999999999997,-0.5000000000000001,0.19999999999999998,3.0650000000000004
0CFA-28A3,Duff,Rioch,Male,21,Frequent Traveller,Human Resources,42,CA,Black,Masters,Other,HR Executive,Married,42303,1,Yes,2019-08-13,No,3,2,2,2,Mid,42303.0,2022-02-26,5,4,3,1,1,2,3,3,2022,0,10,3.4210526315789473,5.0,3.526315789473684,3.473684210526316,0.5263157894736842,3.189473684210526,0.9999999999999997,-2.9999999999999996,-0.9999999999999997,3.189473684210526
0D1B-DEC2,Celestine,Kyngdon,Non-Binary,24,Some Travel,Technology,23,CA,Native American,Bachelors,Computer Science,Data Scientist,Single,100586,0,No,2017-04-23,Yes,4,4,4,4,Mid,100586.0,2022-02-09,5,4,3,1,1,4,5,4,2022,-1,10,3.5272727272727273,3.8727272727272726,4.163636363636364,3.4545454545454546,1.3454545454545455,3.2727272727272725,-0.02424242424242425,0.018181818181818167,0.10909090909090909,3.2727272727272725
